week,matchup_id,roster_id,display_name,points,wins,losses,fpts
12,2,5,declancarroll,43.6,4,10,1432
12,3,2,garrettmowery,143.48,11,3,1758
12,3,8,Shnickel,105.52,5,9,1506
12,4,11,ChexMixChester,142.06,7,7,1622
12,4,4,pattycan,106.82,5,9,1655
12,5,1,Calcarro,137.28,7,7,1697
12,5,12,Vishiga,103.74,8,6,1552
12,6,3,Ouriginal,91.12,3,11,1303
12,6,6,kingcarrillo,87.44,9,5,1643
13,1,5,declancarroll,116.04,4,10,1432
13,1,7,NotKool,70.3,7,7,1589
13,2,10,arturowong,126.72,10,4,1797
13,2,9,HurricaneEich,116.6,8,6,1660
13,3,2,garrettmowery,135.84,11,3,1758
13,3,11,ChexMixChester,85.14,7,7,1622
13,4,4,pattycan,119.14,5,9,1655
13,4,8,Shnickel,99.72,5,9,1506
13,5,12,Vishiga,81.44,8,6,1552
13,5,3,Ouriginal,79.52,3,11,1303
13,6,6,kingcarrillo,132.56,9,5,1643
13,6,1,Calcarro,93.84,7,7,1697
14,1,7,NotKool,96.14,7,7,1589
14,1,9,HurricaneEich,91.6,8,6,1660
14,2,10,arturowong,146.84,10,4,1797
14,2,5,declancarroll,105.08,4,10,1432
14,3,2,garrettmowery,105.4,11,3,1758
14,3,4,pattycan,97.66,5,9,1655
14,4,8,Shnickel,123.44,5,9,1506
14,4,11,ChexMixChester,97.26,7,7,1622
14,5,6,kingcarrillo,133.98,9,5,1643
14,5,12,Vishiga,97.76,8,6,1552
14,6,1,Calcarro,129.56,7,7,1697
14,6,3,Ouriginal,111.34,3,11,1303
15,1,12,Vishiga,130.3,8,6,1552
15,1,9,HurricaneEich,105.6,8,6,1660
15,2,6,kingcarrillo,117.18,9,5,1643
15,2,1,Calcarro,94.5,7,7,1697
15,4,4,pattycan,109.6,5,9,1655
15,4,7,NotKool,88.46,7,7,1589
15,5,11,ChexMixChester,169.84,7,7,1622
15,5,8,Shnickel,116.98,5,9,1506
15,,10,arturowong,155.22,10,4,1797
15,,5,declancarroll,135.98,4,10,1432
15,,2,garrettmowery,134.36,11,3,1758
15,,3,Ouriginal,100.02,3,11,1303
16,1,2,garrettmowery,186.1,11,3,1758
16,1,12,Vishiga,101.66,8,6,1552
16,2,6,kingcarrillo,180.5,9,5,1643
16,2,10,arturowong,143.8,10,4,1797
16,3,1,Calcarro,111.4,7,7,1697
16,3,9,HurricaneEich,93.7,8,6,1660
16,4,7,NotKool,90.62,7,7,1589
16,4,3,Ouriginal,84.38,3,11,1303
16,5,8,Shnickel,150.5,5,9,1506
16,5,5,declancarroll,137.48,4,10,1432
16,6,11,ChexMixChester,95.22,7,7,1622
16,6,4,pattycan,86.84,5,9,1655
17,1,2,garrettmowery,156.12,11,3,1758
17,1,6,kingcarrillo,137.22,9,5,1643
17,2,12,Vishiga,114.4,8,6,1552
17,2,10,arturowong,111.68,10,4,1797
17,4,5,declancarroll,130.18,4,10,1432
17,4,3,Ouriginal,82.96,3,11,1303
17,5,8,Shnickel,104.1,5,9,1506
17,5,7,NotKool,91.22,7,7,1589
17,,9,HurricaneEich,104.1,8,6,1660
17,,11,ChexMixChester,98.48,7,7,1622
17,,1,Calcarro,93.24,7,7,1697
17,,4,pattycan,76.7,5,9,1655
