league_id,league_name,week,matchup_id,roster_id,display_name,points
1252802326628933632,League 1,9,4.0,9,HurricaneEich,109.22
1252802326628933632,League 1,9,2.0,10,arturowong,164.42
1252802326628933632,League 1,9,4.0,11,ChexMixChester,110.56
1252802326628933632,League 1,9,2.0,12,Vishiga,109.78
1252802326628933632,League 1,10,6.0,1,Calcarro,175.8
1252802326628933632,League 1,10,3.0,2,garrettmowery,115.62
1252802326628933632,League 1,10,1.0,3,Ouriginal,97.2
1252802326628933632,League 1,10,6.0,4,pattycan,152.34
1252802326628933632,League 1,10,3.0,5,declancarroll,89.2
1252802326628933632,League 1,10,2.0,6,kingcarrillo,149.52
1252802326628933632,League 1,10,1.0,7,NotKool,119.0
1252802326628933632,League 1,10,4.0,8,Shnickel,112.92
1252802326628933632,League 1,10,4.0,9,HurricaneEich,110.12
1252802326628933632,League 1,10,2.0,10,arturowong,95.94
1252802326628933632,League 1,10,5.0,11,ChexMixChester,106.7
1252802326628933632,League 1,10,5.0,12,Vishiga,138.0
1252802326628933632,League 1,11,5.0,1,Calcarro,90.24
1252802326628933632,League 1,11,4.0,2,garrettmowery,167.94
1252802326628933632,League 1,11,2.0,3,Ouriginal,74.5
1252802326628933632,League 1,11,6.0,4,pattycan,92.12
1252802326628933632,League 1,11,3.0,5,declancarroll,71.6
1252802326628933632,League 1,11,1.0,6,kingcarrillo,131.02
1252802326628933632,League 1,11,1.0,7,NotKool,112.12
1252802326628933632,League 1,11,3.0,8,Shnickel,91.1
1252802326628933632,League 1,11,4.0,9,HurricaneEich,90.9
1252802326628933632,League 1,11,2.0,10,arturowong,179.78
1252802326628933632,League 1,11,5.0,11,ChexMixChester,142.7
1252802326628933632,League 1,11,6.0,12,Vishiga,94.06
1252802326628933632,League 1,12,5.0,1,Calcarro,137.28
1252802326628933632,League 1,12,3.0,2,garrettmowery,143.48
1252802326628933632,League 1,12,6.0,3,Ouriginal,91.12
1252802326628933632,League 1,12,4.0,4,pattycan,106.82
1252802326628933632,League 1,12,2.0,5,declancarroll,43.6
1252802326628933632,League 1,12,6.0,6,kingcarrillo,87.44
1252802326628933632,League 1,12,1.0,7,NotKool,95.66
1252802326628933632,League 1,12,3.0,8,Shnickel,105.52
1252802326628933632,League 1,12,2.0,9,HurricaneEich,124.86
1252802326628933632,League 1,12,1.0,10,arturowong,124.32
1252802326628933632,League 1,12,4.0,11,ChexMixChester,142.06
1252802326628933632,League 1,12,5.0,12,Vishiga,103.74
1252802326628933632,League 1,13,6.0,1,Calcarro,93.84
1252802326628933632,League 1,13,3.0,2,garrettmowery,135.84
1252802326628933632,League 1,13,5.0,3,Ouriginal,79.52
1252802326628933632,League 1,13,4.0,4,pattycan,119.14
1252802326628933632,League 1,13,1.0,5,declancarroll,116.04
1252802326628933632,League 1,13,6.0,6,kingcarrillo,132.56
1252802326628933632,League 1,13,1.0,7,NotKool,70.3
1252802326628933632,League 1,13,4.0,8,Shnickel,99.72
1252802326628933632,League 1,13,2.0,9,HurricaneEich,116.6
1252802326628933632,League 1,13,2.0,10,arturowong,126.72
1252802326628933632,League 1,13,3.0,11,ChexMixChester,85.14
1252802326628933632,League 1,13,5.0,12,Vishiga,81.44
1252802326628933632,League 1,14,6.0,1,Calcarro,129.56
1252802326628933632,League 1,14,3.0,2,garrettmowery,105.4
1252802326628933632,League 1,14,6.0,3,Ouriginal,111.34
1252802326628933632,League 1,14,3.0,4,pattycan,97.66
