league_id,league_name,round,pick_no,display_name,player_name,position
1252802326628933632,League 1,1,1,declancarroll,Ja'Marr Chase,WR
1252802326628933632,League 1,1,2,Ouriginal,Saquon Barkley,RB
1252802326628933632,League 1,1,3,Calcarro,Jahmyr Gibbs,RB
1252802326628933632,League 1,1,4,garrettmowery,Christian McCaffrey,RB
1252802326628933632,League 1,1,5,arturowong,Bijan Robinson,RB
1252802326628933632,League 1,1,6,ChexMixChester,Amon-Ra St. Brown,WR
1252802326628933632,League 1,1,7,Vishiga,Justin Jefferson,WR
1252802326628933632,League 1,1,8,pattycan,CeeDee Lamb,WR
1252802326628933632,League 1,1,9,HurricaneEich,Derrick Henry,RB
1252802326628933632,League 1,1,10,NotKool,Malik Nabers,WR
1252802326628933632,League 1,1,11,Shnickel,Ashton Jeanty,RB
1252802326628933632,League 1,1,12,kingcarrillo,Puka Nacua,WR
1252802326628933632,League 1,2,13,kingcarrillo,Nico Collins,WR
1252802326628933632,League 1,2,14,Shnickel,Brian Thomas,WR
1252802326628933632,League 1,2,15,NotKool,Josh Allen,QB
1252802326628933632,League 1,2,16,HurricaneEich,Josh Jacobs,RB
1252802326628933632,League 1,2,17,pattycan,De'Von Achane,RB
1252802326628933632,League 1,2,18,Vishiga,Kyren Williams,RB
1252802326628933632,League 1,2,19,ChexMixChester,Drake London,WR
1252802326628933632,League 1,2,20,arturowong,Bucky Irving,RB
1252802326628933632,League 1,2,21,garrettmowery,A.J. Brown,WR
1252802326628933632,League 1,2,22,Calcarro,Jonathan Taylor,RB
1252802326628933632,League 1,2,23,Ouriginal,Brock Bowers,TE
1252802326628933632,League 1,2,24,declancarroll,Chase Brown,RB
1252802326628933632,League 1,3,25,declancarroll,Mike Evans,WR
1252802326628933632,League 1,3,26,Ouriginal,Ladd McConkey,WR
1252802326628933632,League 1,3,27,Calcarro,Terry McLaurin,WR
1252802326628933632,League 1,3,28,garrettmowery,Garrett Wilson,WR
1252802326628933632,League 1,3,29,arturowong,Jaxon Smith-Njigba,WR
1252802326628933632,League 1,3,30,ChexMixChester,James Cook,RB
1252802326628933632,League 1,3,31,Vishiga,Trey McBride,TE
1252802326628933632,League 1,3,32,pattycan,Lamar Jackson,QB
1252802326628933632,League 1,3,33,HurricaneEich,Jalen Hurts,QB
1252802326628933632,League 1,3,34,NotKool,Tyreek Hill,WR
1252802326628933632,League 1,3,35,Shnickel,Jayden Daniels,QB
1252802326628933632,League 1,3,36,kingcarrillo,Alvin Kamara,RB
1252802326628933632,League 1,4,37,kingcarrillo,Omarion Hampton,RB
1252802326628933632,League 1,4,38,Shnickel,Tee Higgins,WR
1252802326628933632,League 1,4,39,NotKool,Chuba Hubbard,RB
1252802326628933632,League 1,4,40,HurricaneEich,Davante Adams,WR
1252802326628933632,League 1,4,41,pattycan,Breece Hall,RB
1252802326628933632,League 1,4,42,Vishiga,Joe Burrow,QB
1252802326628933632,League 1,4,43,ChexMixChester,TreVeyon Henderson,RB
1252802326628933632,League 1,4,44,arturowong,DJ Moore,WR
1252802326628933632,League 1,4,45,garrettmowery,Kenneth Walker,RB
1252802326628933632,League 1,4,46,Calcarro,Sam LaPorta,TE
1252802326628933632,League 1,4,47,Ouriginal,DK Metcalf,WR
1252802326628933632,League 1,4,48,declancarroll,James Conner,RB
1252802326628933632,League 1,5,49,declancarroll,Courtland Sutton,WR
1252802326628933632,League 1,5,50,Ouriginal,Isiah Pacheco,RB
1252802326628933632,League 1,5,51,Calcarro,Marvin Harrison,WR
1252802326628933632,League 1,5,52,garrettmowery,George Kittle,TE
1252802326628933632,League 1,5,53,arturowong,Tetairoa McMillan,WR
1252802326628933632,League 1,5,54,ChexMixChester,Travis Kelce,TE
1252802326628933632,League 1,5,55,Vishiga,Xavier Worthy,WR
1252802326628933632,League 1,5,56,pattycan,T.J. Hockenson,TE
1252802326628933632,League 1,5,57,HurricaneEich,DeVonta Smith,WR
1252802326628933632,League 1,5,58,NotKool,Zay Flowers,WR
1252802326628933632,League 1,5,59,Shnickel,Jameson Williams,WR
1252802326628933632,League 1,5,60,kingcarrillo,George Pickens,WR
1252802326628933632,League 1,6,61,kingcarrillo,Baker Mayfield,QB
1252802326628933632,League 1,6,62,Shnickel,RJ Harvey,RB
1252802326628933632,League 1,6,63,NotKool,Tony Pollard,RB
1252802326628933632,League 1,6,64,HurricaneEich,Jerry Jeudy,WR
1252802326628933632,League 1,6,65,pattycan,Emeka Egbuka,WR
1252802326628933632,League 1,6,66,Vishiga,D'Andre Swift,RB
1252802326628933632,League 1,6,67,ChexMixChester,Calvin Ridley,WR
1252802326628933632,League 1,6,68,arturowong,Aaron Jones,RB
1252802326628933632,League 1,6,69,garrettmowery,Patrick Mahomes,QB
1252802326628933632,League 1,6,70,Calcarro,Jacory Croskey-Merritt,RB
1252802326628933632,League 1,6,71,Ouriginal,Jaylen Waddle,WR
